Object,Star,Star type,Mass (M⊕),Radius (R⊕),Density (g/cm3),Flux (F⊕),Teq (K),Period (days),Distance (ly),Note,index,Discovery Year,Discovery Method
LTT 3780 b,,,2.46,1.32,,,,,71.66,,7849.0,2020,Transit
TOI-1235 b,,,6.91,1.74,,,,,129.21,,7872.0,2020,Transit
Wendelstein-1 b,,,188.16,11.56,,,,,995.28,,7955.0,2020,Transit
Wendelstein-2 b,,,232.33,12.99,,,,,1843.66,,7957.0,2020,Transit
HD 191939 c,,,8.0,3.19,,,,,174.77,,7968.0,2020,Transit
TYC 8998-760-1 c,,,1906.98,12.33,,,,,308.45,,7994.0,2020,Imaging
TOI-1899 b,,,212.95,11.1,,,,,418.71,,8010.0,2020,Transit
HATS-37 A b,,,31.47,6.79,,,,,690.78,,8026.0,2020,Transit
TOI-421 b,,,7.17,2.68,,,,,243.84,,8147.0,2020,Transit
GJ 3473 b,,,1.86,1.26,,,,,89.21,,8157.0,2020,Transit
K2-329 b,,,82.64,8.68,,,,,760.35,,8181.0,2020,Transit
WASP-186 b,,,1341.24,12.44,,,,,907.96,,8206.0,2020,Transit
LP 714-47 b,,,30.8,4.7,,,,,171.53,,8216.0,2020,Transit
TOI-942 c,,,37.0,4.79,,,,,497.48,,8224.0,2020,Transit
TOI-776 c,,,6.9,2.05,,,,,88.57,,8239.0,2020,Transit
TOI-561 d,,,11.95,2.53,,,,,279.7,,8258.0,2020,Transit
TOI-561 e,,,16.0,2.67,,,,,279.7,,8264.0,2020,Transit
TOI-564 b,,,464.99,11.43,,,,,650.63,,8286.0,2020,Transit
NGTS-13 b,,,1538.3,12.8,,,,,2111.16,,8302.0,2021,Transit
TOI-178 b,,,1.5,1.15,,,,,204.4,,8320.0,2021,Transit
TOI-178 f,,,7.72,2.29,,,,,204.4,,8327.0,2021,Transit
HD 183579 b,,,20.4,3.49,,,,,186.68,,8344.0,2021,Transit
K2-138 g,,,4.32,3.01,,,,,660.43,,8352.0,2021,Transit
TOI-628 b,,,2011.86,11.88,,,,,582.5,,8354.0,2021,Transit
TOI-640 b,,,279.69,19.85,,,,,1114.91,,8356.0,2021,Transit
TOI-1333 b,,,753.26,15.65,,,,,653.6,,8359.0,2021,Transit
NGTS-15 b,,,238.69,12.33,,,,,2563.94,,8399.0,2021,Transit
NGTS-16 b,,,211.99,14.57,,,,,2928.03,,8400.0,2021,Transit
NGTS-17 b,,,242.82,13.9,,,,,3391.31,,8401.0,2021,Transit
LHS 1478 b,,,2.33,1.24,,,,,59.42,,8404.0,2021,Transit
TOI-257 b,,,43.86,7.16,,,,,250.7,,8406.0,2021,Transit
TOI-220 b,,,13.8,3.03,,,,,295.81,,8447.0,2021,Transit
TOI-1444 b,,,3.87,1.4,,,,,409.01,,8451.0,2021,Transit
TOI-1231 b,,,15.4,3.65,,,,,90.05,,8462.0,2021,Transit
